LOG,CREATE,1000,1000,0.003088,432
LOG,CREATE,5000,1000,0.014977,2160
LOG,CREATE,10000,1000,0.029715,4320
LOG,CREATE,50000,1000,0.150276,21600
LOG,CREATE,100000,1000,0.305460,43200
LOG,CREATE,500000,1000,1.570360,216000
LOG,CREATE,1000000,1000,3.178476,432000
LOG,CREATE,1000,2000,0.003178,432
LOG,CREATE,5000,2000,0.012362,1296
LOG,CREATE,10000,2000,0.023163,2160
LOG,CREATE,50000,2000,0.117600,10800
LOG,CREATE,100000,2000,0.234293,21600
LOG,CREATE,500000,2000,1.255490,108000
LOG,CREATE,1000000,2000,2.522763,216000
LOG,CREATE,1000,3000,0.003369,432
LOG,CREATE,5000,3000,0.011338,864
LOG,CREATE,10000,3000,0.021553,1728
LOG,CREATE,50000,3000,0.103704,7344
LOG,CREATE,100000,3000,0.211050,14688
LOG,CREATE,500000,3000,1.135666,72144
LOG,CREATE,1000000,3000,2.296939,144288
LOG,CREATE,1000,4000,0.003339,432
LOG,CREATE,5000,4000,0.012225,864
LOG,CREATE,10000,4000,0.019576,1296
LOG,CREATE,50000,4000,0.097906,5616
LOG,CREATE,100000,4000,0.197864,10800
LOG,CREATE,500000,4000,1.074159,54000
LOG,CREATE,1000000,4000,2.154713,108000
